bookTitle,authorName,average_rating,num_ratings,genres
One Hundred Years of Solitude,Gabriel García Márquez,4.11,"973,959",Horror
A Thousand Splendid Suns,Khaled Hosseini,4.43,"1,534,200",Poetry
The Time Traveler’s Wife,Audrey Niffenegger,3.99,"1,787,331",Historical
The Princess Bride,William Goldman,4.27,"900,986",Self-Help
The Secret Garden,Frances Hodgson Burnett,4.16,"1,174,169",Thriller
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,"2,495,710",Graphic Novel
The Outsiders,S.E. Hinton,4.13,"1,343,281",Fantasy
Little Women,Louisa May Alcott,4.15,"2,241,322",Fantasy
1984,George Orwell,4.19,"4,617,941",Thriller
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98,"1,204,484",Romance
The Odyssey,Homer,3.81,"1,083,421",Thriller
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.87,"1,604,965",Adventure
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,"3,718,658",Young Adult
The Kite Runner,Khaled Hosseini,4.34,"3,157,340",Young Adult
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,"10,085,072",Young Adult
"The Giver (The Giver, #1)",Lois Lowry,4.12,"2,486,336",Romance
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.14,"2,053,922",Self-Help
The Lovely Bones,Alice Sebold,3.85,"2,356,944",Historical
Where the Wild Things Are,Maurice Sendak,4.24,"1,005,244",Self-Help
The Adventures of Huckleberry Finn,Mark Twain,3.83,"1,267,059",Graphic Novel
Green Eggs and Ham,Dr. Seuss,4.31,"777,462",Nonfiction
Life of Pi,Yann Martel,3.94,"1,627,400",Science Fiction
A Tale of Two Cities,Charles Dickens,3.87,"948,857",Romance
Lolita,Vladimir Nabokov,3.88,"852,282",Historical
Dune (Dune #1),Frank Herbert,4.27,"1,369,985",Graphic Novel
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,"1,372,069",Young Adult
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,"4,201,102",Nonfiction
Water for Elephants,Sara Gruen,4.11,"1,617,821",Horror
The Bell Jar,Sylvia Plath,4.05,"965,662",Mystery
Matilda,Roald Dahl,4.34,"953,418",Poetry
The Stand,Stephen King,4.35,"762,362",Horror
Catch-22,Joseph Heller,3.99,"832,359",Adventure
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,"300,556",Self-Help
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.34,"765,373",Philosophy
"Watership Down (Watership Down, #1)",Richard  Adams,4.08,"481,547",Historical
Rebecca,Daphne du Maurier,4.24,"631,029",Nonfiction
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.39,"2,814,041",Fantasy
Great Expectations,Charles Dickens,3.79,"804,443",Philosophy
"Outlander (Outlander, #1)",Diana Gabaldon,4.26,"1,055,920",Fiction
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,"3,189,378",Graphic Novel
The Color Purple,Alice Walker,4.27,"687,668",Graphic Novel
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,"733,625",Self-Help
Anna Karenina,Leo Tolstoy,4.09,"850,278",Adventure
My Sister’s Keeper,Jodi Picoult,4.1,"1,219,955",Science Fiction
The Brothers Karamazov,Fyodor Dostoevsky,4.37,"333,522",Thriller
A Tree Grows in Brooklyn,Betty  Smith,4.29,"466,799",Young Adult
A Clockwork Orange,Anthony Burgess,4.0,"713,457",Adventure
The Road,Cormac McCarthy,3.99,"907,440",Science Fiction
And Then There Were None,Agatha Christie,4.28,"1,361,779",Graphic Novel
To Kill a Mockingbird,Harper Lee,4.26,"6,141,418",Nonfiction
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,"1,528,120",Historical
It,Stephen King,4.24,"1,114,424",Fiction
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,"645,341",Graphic Novel
Siddhartha,Hermann Hesse,4.07,"773,473",Thriller
"The Shining (The Shining, #1)",Stephen King,4.27,"1,493,711",Thriller
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.14,"630,076",Historical
The Complete Stories and Poems,Edgar Allan Poe,4.39,"250,024",Self-Help
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,"590,447",Fantasy
Don Quixote,Miguel de Cervantes Saavedra,3.9,"271,725",Historical
The Poisonwood Bible,Barbara Kingsolver,4.1,"745,052",Graphic Novel
The Old Man and the Sea,Ernest Hemingway,3.8,"1,152,183",Romance
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,"3,707,537",Fantasy
Atlas Shrugged,Ayn Rand,3.69,"390,575",Thriller
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.15,"1,694,921",Philosophy
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.36,"328,026",Historical
Fahrenheit 451,Ray Bradbury,3.97,"2,425,374",Fantasy
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,"3,284,200",Science Fiction
"Moby-Dick or, The Whale",Herman Melville,3.54,"562,055",Nonfiction
A Prayer for Owen Meany,John Irving,4.24,"321,317",Romance
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,"831,624",Adventure
The Stranger,Albert Camus,4.02,"1,100,599",Poetry
The Secret Life of Bees,Sue Monk Kidd,4.09,"1,293,058",Fantasy
The Red Tent,Anita Diamant,4.2,"599,711",Adventure
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,"3,941,661",Fantasy
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,"964,820",Mystery
The Master and Margarita,Mikhail Bulgakov,4.29,"354,937",Romance
The Metamorphosis,Franz Kafka,3.86,"1,064,446",Fiction
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.29,"3,987,562",Historical
Middlesex,Jeffrey Eugenides,4.03,"639,740",Romance
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.95,"1,781,347",Self-Help
Looking for Alaska,John Green,3.97,"1,603,155",Nonfiction
The Adventures of Tom Sawyer,Mark Twain,3.92,"938,188",Biography
The Count of Monte Cristo,Alexandre Dumas,4.3,"915,890",Mystery
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,"853,123",Poetry
The Very Hungry Caterpillar,Eric Carle,4.33,"511,423",Graphic Novel
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,"1,007,524",Mystery
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"1,481,776",Biography
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.3,"637,611",Poetry
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,"2,806,238",Thriller
Tuesdays with Morrie,Mitch Albom,4.17,"1,030,817",Nonfiction
The Unbearable Lightness of Being,Milan Kundera,4.11,"471,369",Mystery
On the Road,Jack Kerouac,3.61,"412,015",Mystery
The Name of the Rose,Umberto Eco,4.14,"365,440",Biography
Where the Red Fern Grows,Wilson Rawls,4.11,"407,633",Adventure
"The Godfather (The Godfather, #1)",Mario Puzo,4.39,"421,562",Horror
"Holes (Holes, #1)",Louis Sachar,4.0,"1,203,371",Thriller
In Cold Blood,Truman Capote,4.09,"661,168",Young Adult
Perfume: The Story of a Murderer,Patrick Süskind,4.04,"470,351",Young Adult
The Scarlet Letter,Nathaniel Hawthorne,3.43,"866,604",Fantasy
Fight Club,Chuck Palahniuk,4.19,"593,041",Historical
The Five People You Meet in Heaven,Mitch Albom,3.99,"722,012",Historical
American Gods,Neil Gaiman,4.11,"934,146",Self-Help
The Divine Comedy,Dante Alighieri,4.08,"153,115",Romance
Watchmen,Alan Moore,4.38,"559,022",Mystery
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.19,"541,971",Graphic Novel
A Story of Yesterday,Sergio Cobo,4.6,"13,087",Horror
All Quiet on the Western Front,Erich Maria Remarque,4.07,"461,416",Thriller
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.93,"705,820",Biography
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.35,"153,120",Science Fiction
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.53,"191,659",Adventure
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.26,"751,195",Horror
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.49,"953,420",Romance
Peter Pan,J.M. Barrie,4.04,"348,070",Mystery
The Addiction Manifesto,Jerry Weaver,4.82,"1,158",Science Fiction
Love in the Time of Cholera,Gabriel García Márquez,3.94,"505,834",Mystery
"Insurgent (Divergent, #2)",Veronica Roth,3.97,"1,502,304",Self-Help
A Walk to Remember,Nicholas Sparks,4.2,"805,840",Thriller
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,"1,086,617",Thriller
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,"1,060,956",Graphic Novel
The Thorn Birds,Colleen McCullough,4.24,"350,392",Poetry
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.44,"9,398",Young Adult
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.33,"3,691,807",Philosophy
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.34,"366,251",Romance
How the Grinch Stole Christmas!,Dr. Seuss,4.38,"414,670",Self-Help
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.56,"445,754",Young Adult
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,"323,534",Self-Help
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,"1,178,264",Self-Help
Their Eyes Were Watching God,Zora Neale Hurston,3.98,"348,272",Biography
The Importance of Being Earnest,Oscar Wilde,4.17,"371,376",Historical
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,4.0,"454,166",Poetry
Atonement,Ian McEwan,3.94,"520,665",Graphic Novel
"Eat, Pray, Love",Elizabeth Gilbert,3.63,"1,746,306",Biography
The Three Musketeers,Alexandre Dumas,4.09,"323,251",Romance
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,"1,532,111",Philosophy
The Lorax,Dr. Seuss,4.35,"344,406",Science Fiction
Goodnight Moon,Margaret Wise Brown,4.31,"374,455",Thriller
The Haunting of Hill House,Shirley Jackson,3.82,"304,906",Romance
A Midsummer Night’s Dream,William Shakespeare,3.95,"541,282",Young Adult
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.18,"1,507,074",Romance
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.26,"355,719",Historical
The Secret History,Donna Tartt,4.17,"748,267",Philosophy
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.49,"221,630",Philosophy
Heart of Darkness,Joseph Conrad,3.43,"514,197",Young Adult
The Song of Achilles,Madeline Miller,4.33,"1,497,213",Mystery
Tess of the D’Urbervilles,Thomas Hardy,3.83,"284,100",Mystery
Bridge to Terabithia,Katherine Paterson,4.05,"547,430",Adventure
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,"624,791",Self-Help
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.3,"313,473",Adventure
The Prophet,Kahlil Gibran,4.23,"299,434",Thriller
"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.0,"250,014",Mystery
The Call of the Wild,Jack London,3.9,"431,390",Fiction
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.65,"1,912,342",Science Fiction
The Joy Luck Club,Amy Tan,3.97,"683,986",Graphic Novel
Alice in Wonderland,Jane Carruth,4.03,"390,011",Thriller
"The Selection (The Selection, #1)",Kiera Cass,4.08,"1,558,622",Philosophy
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.24,"549,406",Thriller
The Phantom Tollbooth,Norton Juster,4.2,"287,278",Mystery
The Night Circus,Erin Morgenstern,4.02,"978,286",Fantasy
"Oh, the Places You’ll Go!",Dr. Seuss,4.36,"407,656",Fiction
Madame Bovary,Gustave Flaubert,3.7,"335,434",Horror
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,"206,643",Young Adult
The Neverending Story,Michael Ende,4.18,"201,847",Romance
Oliver Twist,Charles Dickens,3.88,"389,757",Graphic Novel
Jonathan Livingston Seagull,Richard Bach,3.86,"252,161",Adventure
Treasure Island,Robert Louis Stevenson,3.84,"490,659",Self-Help
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.25,"924,574",Young Adult
Ulysses,James Joyce,3.75,"128,230",Thriller
The Diary of a Young Girl,Anne Frank,4.19,"3,742,106",Poetry
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,"784,814",Science Fiction
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,"2,614,444",Nonfiction
The Boy in the Striped Pajamas,John Boyne,4.16,"833,677",Science Fiction
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.1,"960,461",Fantasy
Misery,Stephen King,4.21,"700,744",Thriller
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.09,"267,534",Romance
Beloved,Toni Morrison,3.95,"436,925",Self-Help
A Farewell to Arms,Ernest Hemingway,3.82,"322,534",Fiction
The Canterbury Tales,Geoffrey Chaucer,3.52,"222,178",Science Fiction
David Copperfield,Charles Dickens,4.03,"239,105",Graphic Novel
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.3,"848,940",Historical
The World According to Garp,John Irving,4.1,"228,883",Fantasy
A Little Princess,Frances Hodgson Burnett,4.22,"306,713",Young Adult
Th1rteen R3asons Why,Jay Asher,3.85,"971,994",Biography
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,"161,528",Romance
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.42,"3,034,593",Poetry
The Green Mile,Stephen King,4.48,"321,235",Adventure
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.54,"597,996",Historical
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.5,"1,142",Nonfiction
Schindler’s List,Thomas Keneally,4.34,"160,346",Biography
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42,"553,154",Fantasy
"Shōgun (Asian Saga, #1)",James Clavell,4.41,"181,573",Graphic Novel
The Silmarillion,J.R.R. Tolkien,4.01,"293,855",Poetry
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,"926,728",Self-Help
The Velveteen Rabbit,Margery Williams Bianco,4.3,"258,596",Nonfiction
The Iliad / The Odyssey,Homer,4.06,"76,086",Thriller
The Trial,Franz Kafka,3.96,"327,132",Graphic Novel
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,"421,409",Self-Help
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.08,"498,196",Adventure
"Fallen (Fallen, #1)",Lauren Kate,3.72,"586,855",Fantasy
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.37,"287,842",Historical
Gone Girl,Gillian Flynn,4.13,"3,099,952",Young Adult
The Sun Also Rises,Ernest Hemingway,3.79,"445,943",Science Fiction
Man’s Search for Meaning,Viktor E. Frankl,4.37,"717,618",Romance
A Confederacy of Dunces,John Kennedy Toole,3.89,"276,014",Philosophy
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,"359,025",Romance
The Secret Magdalene,Ki Longfellow,4.15,"4,593",Romance
The Crucible: A Play in Four Acts,Arthur Miller,3.6,"409,351",Self-Help
Cat’s Cradle,Kurt Vonnegut Jr.,4.16,"403,787",Young Adult
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.08,"602,366",Adventure
The Screwtape Letters,C.S. Lewis,4.26,"448,879",Fantasy
A Light in the Attic,Shel Silverstein,4.36,"447,866",Mystery
The Phantom of the Opera,Gaston Leroux,3.96,"242,524",Self-Help
The Wind in the Willows,Kenneth Grahame,4.01,"218,947",Nonfiction
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.33,"294,968",Philosophy
The God of Small Things,Arundhati Roy,3.95,"298,729",Adventure
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.46,"325,353",Horror
Blindness,José Saramago,4.17,"290,836",Romance
Girl with a Pearl Earring,Tracy Chevalier,3.93,"737,693",Horror
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.01,"413,187",Young Adult
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,"937,189",Mystery
"Uglies (Uglies, #1)",Scott Westerfeld,3.85,"664,821",Romance
The Wind-Up Bird Chronicle,Haruki Murakami,4.15,"284,260",Science Fiction
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,"469,585",Young Adult
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.09,"3,237,033",Fiction
She’s Come Undone,Wally Lamb,3.91,"346,756",Thriller
The House of the Spirits,Isabel Allende,4.28,"270,606",Science Fiction
The Lord of the Rings,J.R.R. Tolkien,4.53,"677,622",Graphic Novel
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,"754,411",Poetry
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,"481,396",Graphic Novel
"Marked (House of Night, #1)",P.C. Cast,3.81,"496,745",Historical
Norwegian Wood,Haruki Murakami,4.01,"605,081",Self-Help
Speak,Laurie Halse Anderson,4.05,"593,492",Graphic Novel
The Sound and the Fury,William Faulkner,3.85,"182,429",Philosophy
The Shack,William Paul Young,3.83,"652,959",Historical
Fear and Loathing in Las Vegas,Hunter S. Thompson,4.07,"349,848",Historical
The Complete Calvin and Hobbes,Bill Watterson,4.81,"40,293",Young Adult
For Whom the Bell Tolls,Ernest Hemingway,3.98,"294,169",Fiction
Island of the Blue Dolphins,Scott O'Dell,3.87,"333,004",Historical
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.6,"642,455",Fiction
Roots: The Saga of an American Family,Alex Haley,4.44,"159,864",Historical
Kafka on the Shore,Haruki Murakami,4.13,"470,752",Young Adult
Stranger in a Strange Land,Robert A. Heinlein,3.92,"313,064",Philosophy
Paper Towns,John Green,3.71,"1,360,894",Science Fiction
Othello,William Shakespeare,3.89,"390,738",Fantasy
The Complete Sherlock Holmes,Arthur Conan Doyle,4.5,"198,486",Young Adult
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66,"497,355",Fiction
The Idiot,Fyodor Dostoevsky,4.21,"183,413",Biography
Into the Wild,Jon Krakauer,4.01,"1,092,576",Romance
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,"736,189",Adventure
"Inkheart (Inkworld, #1)",Cornelia Funke,3.92,"424,392",Fantasy
"Neverwhere (London Below, #1)",Neil Gaiman,4.17,"531,304",Young Adult
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.09,"200,706",Thriller
"Delirium (Delirium, #1)",Lauren Oliver,3.95,"466,742",Science Fiction
The Things They Carried,Tim O'Brien,4.14,"314,446",Fantasy
King Lear,William Shakespeare,3.91,"219,434",Thriller
Invisible Man,Ralph Ellison,3.91,"188,249",Nonfiction
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.01,"684,033",Romance
White Oleander,Janet Fitch,3.99,"353,666",Fiction
Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98,"11,395",Philosophy
Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,"227,675",Fiction
Different Seasons,Stephen King,4.35,"205,667",Romance
Midnight Sun [2008 Draft],Stephenie Meyer,4.01,"148,547",Fiction
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35,"146,982",Philosophy
"Foundation (Foundation, #1)",Isaac Asimov,4.17,"540,598",Biography
"The Once and Future King (The Once and Future King, #1-4)",T.H. White,4.07,"108,307",Nonfiction
Never Let Me Go,Kazuo Ishiguro,3.85,"697,429",Graphic Novel
I Know This Much Is True,Wally Lamb,4.2,"312,763",Fiction
Flow Down Like Silver,Ki Longfellow,4.0,"4,483",Historical
James and the Giant Peach,Roald Dahl,4.03,"474,520",Thriller
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,"1,171,303",Fiction
The Historian,Elizabeth Kostova,3.8,"265,814",Horror
"Wonder (Wonder, #1)",R.J. Palacio,4.37,"1,088,842",Fiction
Candide,Voltaire,3.76,"277,217",Horror
The Time Machine,H.G. Wells,3.9,"520,239",Fiction
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.23,"173,934",Nonfiction
Paradise Lost,John Milton,3.84,"166,315",Mystery
The Complete Works,William Shakespeare,4.48,"55,292",Horror
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.86,"891,030",Philosophy
The Thirteenth Tale,Diane Setterfield,3.98,"313,449",Graphic Novel
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.41,"592,794",Historical
Heidi,Johanna Spyri,4.03,"199,688",Adventure
Leaves of Grass,Walt Whitman,4.12,"103,389",Adventure
"The Wise Man’s Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,"558,146",Graphic Novel
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.22,"532,323",Horror
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.47,"603,394",Self-Help
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,"462,044",Poetry
"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.48,"695,071",Romance
The Cider House Rules,John Irving,4.16,"185,482",Graphic Novel
"Are You There God? It’s Me, Margaret",Judy Blume,3.94,"240,156",Thriller
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,"1,633,690",Horror
’Salem’s Lot,Stephen King,4.06,"457,495",Adventure
Walden,Henry David Thoreau,3.78,"189,550",Nonfiction
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.2,"2,547,108",Biography
Fangirl,Rainbow Rowell,3.95,"746,451",Graphic Novel
The Martian,Andy Weir,4.42,"1,125,008",Horror
East of Eden,John Steinbeck,4.41,"540,539",Fiction
Sophie’s World,Jostein Gaarder,3.96,"259,927",Fantasy
Mrs. Dalloway,Virginia Woolf,3.79,"307,677",Fiction
"Legend (Legend, #1)",Marie Lu,4.16,"530,148",Poetry
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,"346,806",Science Fiction
Fried Green Tomatoes at the Whistle Stop Cafe (Whistle Stop #1),Fannie Flagg,4.28,"307,177",Nonfiction
The Awakening,Kate Chopin,3.68,"209,094",Horror
Hamlet,William Shakespeare,4.02,"954,978",Poetry
The Complete Maus,Art Spiegelman,4.57,"221,123",Romance
All the Light We Cannot See,Anthony Doerr,4.32,"1,671,291",Adventure
Sophie’s Choice,William Styron,4.17,"91,148",Science Fiction
The Graveyard Book,Neil Gaiman,4.16,"539,868",Poetry
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,"911,796",Historical
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,"453,325",Philosophy
Middlemarch,George Eliot,4.02,"163,364",Horror
The Monster at the End of this Book,Jon Stone,4.46,"125,096",Mystery
The Prince of Tides,Pat Conroy,4.25,"208,724",Biography
Stardust,Neil Gaiman,4.1,"455,314",Biography
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.73,"372,991",Romance
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.97,"540,786",Graphic Novel
Eleanor & Park,Rainbow Rowell,3.94,"1,173,686",Biography
Number the Stars,Lois Lowry,4.19,"569,245",Horror
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.11,"801,876",Graphic Novel
Black Beauty,Anna Sewell,3.99,"279,107",Graphic Novel
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.8,"984,141",Graphic Novel
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05,"542,832",Romance
